Date,Sensex,Reliance Industries,HDFC Bank,Tata Consultancy Services,ICICI Bank,Infosys,Bharti Airtel,State Bank of India,Hindustan Unilever,ITC,Kotak Mahindra Bank,Larsen & Toubro,Axis Bank,Asian Paints,Maruti Suzuki India,Sun Pharmaceutical Industries,Bajaj Finance,Nestle India,HCL Technologies,Mahindra & Mahindra,Titan Company,UltraTech Cement,Power Grid Corporation of India,NTPC,Tata Motors,IndusInd Bank,Bajaj Auto,Tech Mahindra,JSW Steel,Wipro,Adani Enterprises,USD/INR,EUR/INR,Gold BeES
01-06-2020,33303.51953,732.0206299,934.7784424,1828.864624,327.8800659,618.5614624,544.4364624,155.4815369,1940.964844,167.7860718,1244.050903,866.3053589,395.6030579,1619.588501,5550.550293,442.4624939,175.0232391,299.2888489,461.1284485,442.4403381,939.8911133,3702.568115,59.78411865,79.56697083,88.28907776,395.9874268,2389.40332,451.8919983,181.7053528,99.84243774,150.1987915,75.73000336,83.92700195,41.22000122
02-06-2020,33825.53125,739.5552368,948.0389404,1830.876709,337.0684814,626.1221924,543.4139404,155.6643982,1941.518188,164.9422607,1337.609863,882.4058838,408.61203,1635.225098,5453.851563,450.1198425,190.1470032,296.4412537,462.0765076,443.4951477,956.9559326,3718.038574,62.06034088,78.59218597,95.08812714,419.9369507,2422.942627,455.6785889,180.1126709,100.3770981,149.6498871,75.06580353,83.92700195,41.18999863
03-06-2020,34109.53906,742.6124268,968.1193237,1834.869019,344.9511108,620.1973877,537.2786255,159.8703003,1953.218872,164.6494598,1381.825073,897.1530762,408.3130188,1641.393677,5392.246582,452.8308716,195.5272369,303.486145,464.3024292,464.8788452,965.0470581,3740.007568,61.87223053,76.92691803,97.35448456,416.5569458,2413.58252,460.131012,180.534256,98.2384491,150.1987915,75.54499817,84.57099915,40.88000107
04-06-2020,33980.69922,760.6669312,950.2648926,1878.423218,336.4398193,625.901062,558.1679077,159.1388702,1953.495605,167.3678741,1328.248901,868.965332,393.1109009,1561.728882,5458.981445,470.8566284,187.4447632,299.4830322,477.245575,458.9815369,952.7388306,3691.510986,63.65935516,77.29248047,97.05886841,400.6710815,2443.135498,484.7228699,179.9253082,100.9117584,147.7037811,75.49089813,85.44599915,40.81999969
05-06-2020,34287.23828,760.9797974,980.1013184,1837.336182,345.5314636,622.3197021,569.6107178,171.7108765,1922.99939,167.2424011,1334.024902,891.6461792,404.1760864,1566.893311,5510.662598,470.0480347,193.8904724,297.7805481,474.7723083,464.4473267,971.9612427,3754.895996,64.52469635,79.60758972,109.080368,408.0587158,2406.952881,482.642334,184.5628052,101.7253876,152.2446899,75.49089813,85.44599915,41.16999817
07-06-2020,34287.23828,760.9797974,980.1013184,1837.336182,345.5314636,622.3197021,569.6107178,171.7108765,1922.99939,167.2424011,1334.024902,891.6461792,404.1760864,1566.893311,5510.662598,470.0480347,193.8904724,297.7805481,474.7723083,464.4473267,971.9612427,3754.895996,64.52469635,79.60758972,109.080368,408.0587158,2406.952881,482.642334,184.5628052,101.7253876,152.2446899,75.5177002,85.2519989,41.16999817
08-06-2020,34370.57813,755.9005127,961.8206177,1858.238403,348.2879944,637.1758423,569.4646606,170.7965393,1944.742676,165.4022827,1332.132813,897.199707,429.1473083,1563.115601,5499.396484,465.1017456,203.1681366,293.0851135,476.7096863,451.6938171,999.8632813,3666.098877,64.80686951,80.09499359,113.8101425,436.1607361,2427.275635,491.671875,182.6422119,105.096077,152.4941864,75.625,85.16400146,40.65999985
09-06-2020,33956.69141,740.0367432,934.8257446,1859.987427,337.3102417,634.6998901,552.7629395,168.6478882,1940.59668,166.1132202,1298.323975,889.4993896,418.5806274,1569.905884,5433.380371,476.1358643,197.9945221,288.3992615,472.340332,459.2692261,977.3063354,3680.01709,64.18608856,79.64820862,109.8193893,447.9906616,2420.299561,487.5107727,178.0515594,101.4929199,151.5959778,75.50980377,85.48200226,41.02999878
10-06-2020,34247.05078,756.8393555,939.4196777,1891.340942,341.8077087,633.0196533,552.4220581,171.7108765,1952.619995,166.6568909,1328.697144,883.6658936,426.4558105,1564.789185,5430.695313,474.8041687,197.5488739,288.4672241,477.1218872,454.091095,958.7212524,3676.525635,63.99796295,79.77005768,109.8686676,483.5286255,2357.900146,491.2557068,178.9415894,100.8652649,151.5460815,75.875,85.92700195,41.20999908
11-06-2020,33538.37109,740.2293091,917.4923706,1855.008789,329.9595337,622.1870728,537.1811523,162.0189819,1942.208862,162.7675476,1293.245483,868.1254272,412.1509094,1539.302368,5203.880859,450.5003967,189.3732147,312.1453552,476.5447083,454.9541321,932.6826782,3593.063232,64.28015137,79.68882751,104.4984055,505.256958,2355.820313,475.8182068,172.9924774,98.93583679,151.3464966,76.38999939,85.68099976,41.72999954
